id,parentId,name,details
100,,Introductory Python,Learn programming fundamentals with Python and AI!
101,100,Intermediate Python,Discover the real capabilities with Python and become a true developer!
102,101,Advanced Python,Discover the real capabilities with Python and become a true developer!
103,101,Microcontrollers,Discover the real capabilities with Python and become a true developer!
104,103,Dashboards,Discover the real capabilities with Python and become a true developer!
105,103,Control Systems,Discover the real capabilities with Python and become a true developer!
106,105,Robotics,Discover the real capabilities with Python and become a true developer!
107,104,IoT,Discover the real capabilities with Python and become a true developer!
109,102,Automation Tools,Use tools to streamline and automate tasks.
111,109,Automation,Learn core principles of software automation.
112,102,Django,Build robust web apps using Django.
113,112,Web Developer,Develop modern and responsive websites.
114,102,Godot,Create games using the Godot engine.
115,114,Game Developer,Now you can make PUBG at home!
117,102,Machine Learning,Build predictive models with ML.
118,102,Data Cleanup,Clean and prepare data for analysis.
119,118,Data Scientist,Analyze and visualize complex datasets.
120,117,AI Engineer,Build and deploy AI-powered systems.
